equipment_port,equipment_id,process_time,allocate_rule,equipment_status
c7_34,c7,55.0,,1
c7_35,c7,55.0,,1
c7_36,c7,55.0,,1
c7_37,c7,55.0,,1
c7_38,c7,55.0,,1
c7_39,c7,55.0,,1
c7_40,c7,55.0,,1
c7_41,c7,55.0,,1
c7_42,c7,55.0,,1
c7_43,c7,55.0,,1
c7_44,c7,55.0,,1
c7_45,c7,55.0,,1
c7_46,c7,55.0,,1
c7_47,c7,55.0,,1
c7_48,c7,55.0,,1
c7_49,c7,55.0,,1
c7_50,c7,55.0,,1
c7_51,c7,55.0,,1
c7_52,c7,55.0,,1
c7_53,c7,55.0,,1
c7_54,c7,55.0,,1
c7_55,c7,55.0,,1
c7_56,c7,55.0,,1
c7_57,c7,55.0,,1
c7_58,c7,55.0,,1
c7_59,c7,55.0,,1
c7_60,c7,55.0,,1
c7_61,c7,55.0,,1
c7_62,c7,55.0,,1
c7_63,c7,55.0,,1
c7_64,c7,55.0,,1
c7_65,c7,55.0,,1
c7_66,c7,55.0,,1
c7_67,c7,55.0,,1
c7_68,c7,55.0,,1
c7_69,c7,55.0,,1
c7_70,c7,55.0,,1
c7_71,c7,55.0,,1
c7_72,c7,55.0,,1
c7_73,c7,55.0,,1
c7_74,c7,55.0,,1
c7_75,c7,55.0,,1
c7_76,c7,55.0,,1
c7_77,c7,55.0,,1
c7_78,c7,55.0,,1
c7_79,c7,55.0,,1
c7_80,c7,55.0,,1
c7_81,c7,55.0,,1
c7_82,c7,55.0,,1
c7_83,c7,55.0,,1
c7_84,c7,55.0,,1
c7_85,c7,55.0,,1
c7_86,c7,55.0,,1
c7_87,c7,55.0,,1
c7_88,c7,55.0,,1
c7_89,c7,55.0,,1
c7_90,c7,55.0,,1
c7_91,c7,55.0,,1
c7_92,c7,55.0,,1
c7_93,c7,55.0,,1
c7_94,c7,55.0,,1
c7_95,c7,55.0,,1
c7_96,c7,55.0,,1
c7_97,c7,55.0,,1
c7_98,c7,55.0,,1
c7_99,c7,55.0,,1
c7_100,c7,55.0,,1
c7_101,c7,55.0,,1
c7_102,c7,55.0,,1
c7_103,c7,55.0,,1
c7_104,c7,55.0,,1
c8_1,c8,55.0,,1
c8_2,c8,55.0,,1
c8_3,c8,55.0,,1
c8_4,c8,55.0,,1
c8_5,c8,55.0,,1
c8_6,c8,55.0,,1
c8_7,c8,55.0,,1
c8_8,c8,55.0,,1
c8_9,c8,55.0,,1
c8_10,c8,55.0,,1
c8_11,c8,55.0,,1
c8_12,c8,55.0,,1
c8_13,c8,55.0,,1
c8_14,c8,55.0,,1
c8_15,c8,55.0,,1
c8_16,c8,55.0,,1
c8_17,c8,55.0,,1
c8_18,c8,55.0,,1
c8_19,c8,55.0,,1
c8_20,c8,55.0,,1
c8_21,c8,55.0,,1
c8_22,c8,55.0,,1
c8_23,c8,55.0,,1
c8_24,c8,55.0,,1
c8_25,c8,55.0,,1
c8_26,c8,55.0,,1
c8_27,c8,55.0,,1
c8_28,c8,55.0,,1
c8_29,c8,55.0,,1
c8_30,c8,55.0,,1
c8_31,c8,55.0,,1
c8_32,c8,55.0,,1
c8_33,c8,55.0,,1
c8_34,c8,55.0,,1
c8_35,c8,55.0,,1
c8_36,c8,55.0,,1
c8_37,c8,55.0,,1
c8_38,c8,55.0,,1
c8_39,c8,55.0,,1
c8_40,c8,55.0,,1
c8_41,c8,55.0,,1
c8_42,c8,55.0,,1
c8_43,c8,55.0,,1
c8_44,c8,55.0,,1
c8_45,c8,55.0,,1
c8_46,c8,55.0,,1
c8_47,c8,55.0,,1
c8_48,c8,55.0,,1
c8_49,c8,55.0,,1
c8_50,c8,55.0,,1
c8_51,c8,55.0,,1
c8_52,c8,55.0,,1
c8_53,c8,55.0,,1
c8_54,c8,55.0,,1
c8_55,c8,55.0,,1
c8_56,c8,55.0,,1
c8_57,c8,55.0,,1
c8_58,c8,55.0,,1
c8_59,c8,55.0,,1
c8_60,c8,55.0,,1
c8_61,c8,55.0,,1
c8_62,c8,55.0,,1
c8_63,c8,55.0,,1
c8_64,c8,55.0,,1
c8_65,c8,55.0,,1
c8_66,c8,55.0,,1
c8_67,c8,55.0,,1
c8_68,c8,55.0,,1
c8_69,c8,55.0,,1
c8_70,c8,55.0,,1
c8_71,c8,55.0,,1
c8_72,c8,55.0,,1
c8_73,c8,55.0,,1
c8_74,c8,55.0,,1
c8_75,c8,55.0,,1
c8_76,c8,55.0,,1
c8_77,c8,55.0,,1
c8_78,c8,55.0,,1
c8_79,c8,55.0,,1
c8_80,c8,55.0,,1
c8_81,c8,55.0,,1
c8_82,c8,55.0,,1
c8_83,c8,55.0,,1
c8_84,c8,55.0,,1
c8_85,c8,55.0,,1
c8_86,c8,55.0,,1
c8_87,c8,55.0,,1
c8_88,c8,55.0,,1
c8_89,c8,55.0,,1
c8_90,c8,55.0,,1
c8_91,c8,55.0,,1
c8_92,c8,55.0,,1
c8_93,c8,55.0,,1
c8_94,c8,55.0,,1
c8_95,c8,55.0,,1
c8_96,c8,55.0,,1
c8_97,c8,55.0,,1
c8_98,c8,55.0,,1
c8_99,c8,55.0,,1
c8_100,c8,55.0,,1
c8_101,c8,55.0,,1
c8_102,c8,55.0,,1
c8_103,c8,55.0,,1
c8_104,c8,55.0,,1
c9_1,c9,55.0,,0
c9_2,c9,55.0,,0
c9_3,c9,55.0,,0
c9_4,c9,55.0,,0
c9_5,c9,55.0,,0
c9_6,c9,55.0,,0
c9_7,c9,55.0,,0
c9_8,c9,55.0,,0
c9_9,c9,55.0,,0
c9_10,c9,55.0,,0
c9_11,c9,55.0,,0
c9_12,c9,55.0,,0
c9_13,c9,55.0,,0
c9_14,c9,55.0,,0
c9_15,c9,55.0,,0
c9_16,c9,55.0,,0
c9_17,c9,55.0,,0
c9_18,c9,55.0,,0
c9_19,c9,55.0,,0
c9_20,c9,55.0,,0
c9_21,c9,55.0,,0
c9_22,c9,55.0,,0
c9_23,c9,55.0,,0
c9_24,c9,55.0,,0
c9_25,c9,55.0,,0
c9_26,c9,55.0,,0
c9_27,c9,55.0,,0
c9_28,c9,55.0,,1
c9_29,c9,55.0,,1
c9_30,c9,55.0,,1
c9_31,c9,55.0,,1
c9_32,c9,55.0,,1
c9_33,c9,55.0,,1
c9_34,c9,55.0,,1
c9_35,c9,55.0,,1
c9_36,c9,55.0,,1
c9_37,c9,55.0,,1
c9_38,c9,55.0,,1
c9_39,c9,55.0,,1
c9_40,c9,55.0,,1
c9_41,c9,55.0,,1
