equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c11_74,c11,577CJ,L,,
c11_75,c11,577LC,L,,
c11_76,c11,577CL,L,,
c11_77,c11,577FA,L,,
c11_78,c11,577UA,L,,
c11_79,c11,577JH,L,,
c11_80,c11,577DE,L,,
c11_81,c11,577LH,L,,
c11_82,c11,577DB,L,,
c11_83,c11,577JC,L,,
c11_84,c11,577KC,L,,
c11_85,c11,577CM,L,,
c11_86,c11,577NE,L,,
c11_87,c11,577JK,L,,
c11_88,c11,577CE,L,,
c11_89,c11,577FF,L,,
c11_90,c11,577DD,L,,
c11_91,c11,577JL,L,,
c11_92,c11,577JM,L,,
c11_93,c11,577B,L,,
c11_94,c11,577GH,L,,
c11_95,c11,577D,L,,
c11_96,c11,577FB,L,,
c11_97,c11,577NF,L,,
c11_98,c11,577DQ,L,,
c11_99,c11,577CQ,L,,
c11_100,c11,577N,L,,
c11_101,c11,577PN,L,,
c11_102,c11,577FC,L,,
c11_103,c11,577LF,L,,
c11_104,c11,577CT,L,,
