pipeline_id,package_id,time_stamp,action
"('r1_4', 'm1_3')",250962,32676.97,end
"('r1_4', 'm1_3')",250964,32640.4,start
"('r1_4', 'm1_3')",250964,32681.77,end
"('r1_4', 'm1_3')",250968,32640.4,start
"('r1_4', 'm1_3')",250968,32681.77,end
"('r1_4', 'm1_3')",250969,32645.2,start
"('r1_4', 'm1_3')",250969,32686.57,end
"('r1_4', 'm1_3')",250971,32645.2,start
"('r1_4', 'm1_3')",250971,32686.57,end
"('r1_4', 'm1_3')",250972,32650.0,start
"('r1_4', 'm1_3')",250972,32691.37,end
"('r1_4', 'm1_3')",250973,32650.0,start
"('r1_4', 'm1_3')",250973,32691.37,end
"('r1_4', 'm1_3')",250974,32654.8,start
"('r1_4', 'm1_3')",250974,32696.17,end
"('r1_4', 'm1_3')",250975,32654.8,start
"('r1_4', 'm1_3')",250975,32696.17,end
"('r1_4', 'm1_3')",250976,32659.6,start
"('r1_4', 'm1_3')",250976,32700.969999999998,end
"('r1_4', 'm1_3')",250977,32659.6,start
"('r1_4', 'm1_3')",250977,32700.969999999998,end
"('r1_4', 'm1_3')",250978,32664.399999999998,start
"('r1_4', 'm1_3')",250978,32705.769999999997,end
"('r1_4', 'm1_3')",250979,32664.399999999998,start
"('r1_4', 'm1_3')",250979,32705.769999999997,end
"('r2_1', 'm1_2')",126,4.8,start
"('r2_1', 'm1_2')",126,47.059999999999995,end
"('r2_1', 'm1_2')",384308,4.8,start
"('r2_1', 'm1_2')",384308,47.059999999999995,end
"('r2_1', 'm1_2')",384309,9.6,start
"('r2_1', 'm1_2')",384309,51.86,end
"('r2_1', 'm1_2')",384310,9.6,start
"('r2_1', 'm1_2')",384310,51.86,end
"('r2_1', 'm1_2')",384311,14.399999999999999,start
"('r2_1', 'm1_2')",384311,56.66,end
"('r2_1', 'm1_2')",384387,14.399999999999999,start
"('r2_1', 'm1_2')",384387,56.66,end
"('r2_1', 'm1_2')",384388,19.2,start
"('r2_1', 'm1_2')",384388,61.459999999999994,end
"('r2_1', 'm1_2')",384389,19.2,start
"('r2_1', 'm1_2')",384389,61.459999999999994,end
"('r2_1', 'm1_2')",384390,24.0,start
"('r2_1', 'm1_2')",384390,66.25999999999999,end
"('r2_1', 'm1_2')",384391,24.0,start
"('r2_1', 'm1_2')",384391,66.25999999999999,end
"('r2_1', 'm1_2')",384392,28.8,start
"('r2_1', 'm1_2')",384392,71.06,end
"('r2_1', 'm1_2')",384393,28.8,start
"('r2_1', 'm1_2')",384393,71.06,end
"('r2_1', 'm1_2')",384394,33.6,start
"('r2_1', 'm1_2')",384394,75.86,end
"('r2_1', 'm1_2')",384395,33.6,start
"('r2_1', 'm1_2')",384395,75.86,end
"('r2_1', 'm1_2')",384396,38.4,start
"('r2_1', 'm1_2')",384396,80.66,end
"('r2_1', 'm1_2')",384397,38.4,start
"('r2_1', 'm1_2')",384397,80.66,end
"('r2_1', 'm1_2')",384398,43.199999999999996,start
"('r2_1', 'm1_2')",384398,85.46,end
"('r2_1', 'm1_2')",384399,43.199999999999996,start
"('r2_1', 'm1_2')",384399,85.46,end
"('r2_1', 'm1_2')",384400,47.99999999999999,start
"('r2_1', 'm1_2')",384400,90.25999999999999,end
"('r2_1', 'm1_2')",384401,47.99999999999999,start
"('r2_1', 'm1_2')",384401,90.25999999999999,end
"('r2_1', 'm1_2')",384402,52.79999999999999,start
"('r2_1', 'm1_2')",384402,95.05999999999999,end
"('r2_1', 'm1_2')",384403,52.79999999999999,start
"('r2_1', 'm1_2')",384403,95.05999999999999,end
"('r2_1', 'm1_2')",384404,57.59999999999999,start
