equipment_id,truck_id,truck_type,time_stamp,action,store_size,real_time_stamp,run_time
truck,338021771677,LA,10368.0,wait,55,2017-07-25 23:52:48.000,2017-08-29 10:01:50.972091
r3_1,338021771677,LA,10368.0,start,55,2017-07-25 23:52:48.000,2017-08-29 10:01:50.972091
r3_1,338021771677,LA,10455.639999999978,end,55,2017-07-25 23:54:15.640,2017-08-29 10:01:50.972091
truck,336636881897,LA,10635.0,wait,1,2017-07-25 23:57:15.000,2017-08-29 10:01:50.972091
r4_1,336636881897,LA,10635.0,start,1,2017-07-25 23:57:15.000,2017-08-29 10:01:50.972091
r4_1,336636881897,LA,10638.13,end,1,2017-07-25 23:57:18.130,2017-08-29 10:01:50.972091
truck,328278,AL,10648.0,wait,1,2017-07-25 23:57:28.000,2017-08-29 10:01:50.972091
a2_12,328278,AL,10648.0,start,1,2017-07-25 23:57:28.000,2017-08-29 10:01:50.972091
a2_12,328278,AL,10648.0,end,1,2017-07-25 23:57:28.000,2017-08-29 10:01:50.972091
truck,527364,AA,10732.0,wait,1,2017-07-25 23:58:52.000,2017-08-29 10:01:50.972091
a2_3,527364,AA,10732.0,start,1,2017-07-25 23:58:52.000,2017-08-29 10:01:50.972091
a2_3,527364,AA,10732.0,end,1,2017-07-25 23:58:52.000,2017-08-29 10:01:50.972091
truck,338196622928,LA,10922.0,wait,5,2017-07-26 00:02:02.000,2017-08-29 10:01:50.972091
r5_1,338196622928,LA,10922.0,start,5,2017-07-26 00:02:02.000,2017-08-29 10:01:50.972091
r5_1,338196622928,LA,10931.389999999998,end,5,2017-07-26 00:02:11.390,2017-08-29 10:01:50.972091
truck,339908879227,LA,11016.0,wait,10,2017-07-26 00:03:36.000,2017-08-29 10:01:50.972091
r3_1,339908879227,LA,11016.0,start,10,2017-07-26 00:03:36.000,2017-08-29 10:01:50.972091
r3_1,339908879227,LA,11031.649999999996,end,10,2017-07-26 00:03:51.650,2017-08-29 10:01:50.972091
truck,339511040109,LL,11122.0,wait,2,2017-07-26 00:05:22.000,2017-08-29 10:01:50.972091
r4_1,339511040109,LL,11122.0,start,2,2017-07-26 00:05:22.000,2017-08-29 10:01:50.972091
r4_1,339511040109,LL,11125.13,end,2,2017-07-26 00:05:25.130,2017-08-29 10:01:50.972091
truck,338332712044,LA,11207.0,wait,32,2017-07-26 00:06:47.000,2017-08-29 10:01:50.972091
r5_1,338332712044,LA,11207.0,start,32,2017-07-26 00:06:47.000,2017-08-29 10:01:50.972091
r5_1,338332712044,LA,11257.079999999987,end,32,2017-07-26 00:07:37.080,2017-08-29 10:01:50.972091
truck,339556601029,LA,11296.0,wait,3,2017-07-26 00:08:16.000,2017-08-29 10:01:50.972091
r3_1,339556601029,LA,11296.0,start,3,2017-07-26 00:08:16.000,2017-08-29 10:01:50.972091
r3_1,339556601029,LA,11302.259999999998,end,3,2017-07-26 00:08:22.260,2017-08-29 10:01:50.972091
truck,339142756622,LA,11372.0,wait,22,2017-07-26 00:09:32.000,2017-08-29 10:01:50.972091
r4_1,339142756622,LA,11372.0,start,22,2017-07-26 00:09:32.000,2017-08-29 10:01:50.972091
r4_1,339142756622,LA,11406.429999999991,end,22,2017-07-26 00:10:06.430,2017-08-29 10:01:50.972091
truck,338509132759,LA,11747.0,wait,5,2017-07-26 00:15:47.000,2017-08-29 10:01:50.972091
r5_1,338509132759,LA,11747.0,start,5,2017-07-26 00:15:47.000,2017-08-29 10:01:50.972091
r5_1,338509132759,LA,11756.389999999998,end,5,2017-07-26 00:15:56.390,2017-08-29 10:01:50.972091
truck,338931457719,LA,12512.0,wait,97,2017-07-26 00:28:32.000,2017-08-29 10:01:50.972091
r3_1,338931457719,LA,12512.0,start,97,2017-07-26 00:28:32.000,2017-08-29 10:01:50.972091
r3_1,338931457719,LA,12665.36999999996,end,97,2017-07-26 00:31:05.370,2017-08-29 10:01:50.972091
truck,338004096683,LA,13768.0,wait,1,2017-07-26 00:49:28.000,2017-08-29 10:01:50.972091
r4_1,338004096683,LA,13768.0,start,1,2017-07-26 00:49:28.000,2017-08-29 10:01:50.972091
r4_1,338004096683,LA,13771.13,end,1,2017-07-26 00:49:31.130,2017-08-29 10:01:50.972091
truck,338021742929,LA,14525.0,wait,14,2017-07-26 01:02:05.000,2017-08-29 10:01:50.972091
r5_1,338021742929,LA,14525.0,start,14,2017-07-26 01:02:05.000,2017-08-29 10:01:50.972091
r5_1,338021742929,LA,14546.909999999994,end,14,2017-07-26 01:02:26.910,2017-08-29 10:01:50.972091
truck,338332712053,LA,14544.0,wait,2,2017-07-26 01:02:24.000,2017-08-29 10:01:50.972091
r3_1,338332712053,LA,14544.0,start,2,2017-07-26 01:02:24.000,2017-08-29 10:01:50.972091
r3_1,338332712053,LA,14547.13,end,2,2017-07-26 01:02:27.130,2017-08-29 10:01:50.972091
truck,339556718572,LA,14580.0,wait,31,2017-07-26 01:03:00.000,2017-08-29 10:01:50.972091
r5_1,339556718572,LA,14636.909999999994,start,31,2017-07-26 01:03:56.910,2017-08-29 10:01:50.972091
r5_1,339556718572,LA,14686.989999999982,end,31,2017-07-26 01:04:46.990,2017-08-29 10:01:50.972091
truck,338020287553,LA,14558.0,wait,91,2017-07-26 01:02:38.000,2017-08-29 10:01:50.972091
r4_1,338020287553,LA,14558.0,start,91,2017-07-26 01:02:38.000,2017-08-29 10:01:50.972091
r4_1,338020287553,LA,14701.979999999963,end,91,2017-07-26 01:05:01.980,2017-08-29 10:01:50.972091
truck,328124,AL,14710.000000000002,wait,1,2017-07-26 01:05:10.000,2017-08-29 10:01:50.972091
a2_6,328124,AL,14710.000000000002,start,1,2017-07-26 01:05:10.000,2017-08-29 10:01:50.972091
a2_6,328124,AL,14710.000000000002,end,1,2017-07-26 01:05:10.000,2017-08-29 10:01:50.972091
