parcel_id,small_id,parcel_type,start_node,ident_des_zno,sorter_type,dest_type,ret_path,run_time
101042,101042,parcel,j4_1,411,reload,A,j4_1:i19_4:i18_1:c17_12,2017-08-29 10:01:50.972091
101383,101383,parcel,r3_1,411,reload,A,r3_1:m2_1:j22_1:i24_4:i23_2:c17_8,2017-08-29 10:01:50.972091
101383,101383,parcel,j18_1,411,reload,A,j18_1:i19_2:i18_1:c17_12,2017-08-29 10:01:50.972091
101396,101396,parcel,r3_1,411,reload,A,r3_1:m2_1:j10_1:i19_3:i18_2:c17_10,2017-08-29 10:01:50.972091
101396,101396,parcel,j10_1,411,reload,A,j10_1:i19_3:i18_1:c17_12,2017-08-29 10:01:50.972091
100190,100190,parcel,r3_1,010,reload,A,r3_1:m2_1:j22_1:i24_4:i23_1:c17_21,2017-08-29 10:01:50.972091
100190,100190,parcel,j14_1,010,reload,A,j14_1:i19_2:i18_1:c17_13,2017-08-29 10:01:50.972091
100196,100196,parcel,r3_1,010,reload,A,r3_1:m2_1:j16_1:i19_2:i18_2:c17_19,2017-08-29 10:01:50.972091
100196,100196,parcel,j16_1,010,reload,A,j16_1:i19_2:i18_1:c17_13,2017-08-29 10:01:50.972091
100317,100317,parcel,r3_1,010,reload,A,r3_1:m2_1:j24_1:i24_4:i23_2:c17_15,2017-08-29 10:01:50.972091
100317,100317,parcel,j14_1,010,reload,A,j14_1:i19_2:i18_1:c17_13,2017-08-29 10:01:50.972091
101019,101019,parcel,r3_1,010,reload,A,r3_1:m2_1:j10_1:i19_3:i18_2:c17_17,2017-08-29 10:01:50.972091
101019,101019,parcel,j10_1,010,reload,A,j10_1:i19_3:i18_1:c17_13,2017-08-29 10:01:50.972091
101023,101023,parcel,r3_1,010,reload,A,r3_1:m2_1:j22_1:i24_4:i23_1:c17_19,2017-08-29 10:01:50.972091
101023,101023,parcel,j12_1,010,reload,A,j12_1:i19_3:i18_1:c17_13,2017-08-29 10:01:50.972091
101038,101038,parcel,r3_1,010,reload,A,r3_1:m2_1:j10_1:i19_3:i18_2:c17_13,2017-08-29 10:01:50.972091
101038,101038,parcel,j16_1,010,reload,A,j16_1:i19_2:i18_1:c17_13,2017-08-29 10:01:50.972091
101225,101225,parcel,r3_1,010,reload,A,r3_1:m2_1:j20_1:i24_4:i23_2:c17_13,2017-08-29 10:01:50.972091
101225,101225,parcel,j16_1,010,reload,A,j16_1:i19_2:i18_1:c17_13,2017-08-29 10:01:50.972091
100414,100414,parcel,r4_1,010,reload,A,r4_1:m2_2:j1_1:i22_1:c17_15,2017-08-29 10:01:50.972091
100414,100414,parcel,j8_1,010,reload,A,j8_1:i19_3:i18_1:c17_15,2017-08-29 10:01:50.972091
100355,100355,parcel,r3_1,010,reload,A,r3_1:m2_1:j22_1:i24_4:i23_2:c17_17,2017-08-29 10:01:50.972091
100355,100355,parcel,j10_1,010,reload,A,j10_1:i19_3:i18_1:c17_15,2017-08-29 10:01:50.972091
100564,100564,parcel,r3_1,010,reload,A,r3_1:m2_1:j18_1:i19_2:i18_1:c17_13,2017-08-29 10:01:50.972091
100564,100564,parcel,j14_1,010,reload,A,j14_1:i19_2:i18_1:c17_15,2017-08-29 10:01:50.972091
