equipment_id,package_id,time_stamp,action
m2_4,390540,5319.7100000000055,wait
m2_4,390540,5338.62,start
m2_4,390540,5341.62,end
i7_2,390540,5399.53,wait
m2_4,390540,5428.62,start
m2_4,390540,5431.62,end
i6_1,390540,5664.47,wait
c4_2,390540,5872.070000000001,wait
i6_1,390540,5872.070000000001,wait
i6_1,390540,5872.070000000001,start
i6_1,390540,5898.910000000001,end
4,390540,5898.910000000001,wait
r4_3,390548,5113.0,wait
r4_3,390548,5261.800000000006,start
r4_3,390548,5266.600000000006,end
m2_4,390548,5324.510000000006,wait
m2_4,390548,5341.62,start
m2_4,390548,5344.62,end
i7_2,390548,5402.53,wait
m2_4,390548,5434.62,start
m2_4,390548,5437.62,end
i6_2,390548,5670.47,wait
c4_2,390548,5878.070000000001,wait
i6_2,390548,5878.070000000001,wait
i6_2,390548,5878.070000000001,start
i6_2,390548,5904.910000000001,end
4,390548,5904.910000000001,wait
r4_3,391120,5113.0,wait
r4_3,391120,5343.400000000009,start
r4_3,391120,5348.200000000009,end
m2_4,391120,5406.110000000009,wait
m2_4,391120,5437.62,start
m2_4,391120,5440.62,end
i7_2,391120,5498.53,wait
m2_4,391120,5545.62,start
m2_4,391120,5548.62,end
i6_1,391120,5781.47,wait
c4_2,391120,5989.070000000001,wait
i6_1,391120,5989.070000000001,wait
i6_1,391120,5989.070000000001,start
i6_1,391120,6015.910000000001,end
4,391120,6015.910000000001,wait
r4_3,391124,5113.0,wait
r4_3,391124,5353.000000000009,start
r4_3,391124,5357.800000000009,end
m2_4,391124,5415.710000000009,wait
m2_4,391124,5449.62,start
m2_4,391124,5452.62,end
i7_2,391124,5510.53,wait
m2_4,391124,5557.62,start
m2_4,391124,5560.62,end
i6_1,391124,5793.47,wait
c4_2,391124,6001.070000000001,wait
i6_1,391124,6001.070000000001,wait
i6_1,391124,6001.070000000001,start
i6_1,391124,6027.910000000001,end
4,391124,6027.910000000001,wait
r3_4,1831,5619.0,wait
r3_4,1831,5633.400000000001,start
r3_4,1831,5638.200000000001,end
m2_3,1831,5696.110000000001,wait
m2_3,1831,5696.110000000001,start
m2_3,1831,5699.110000000001,end
i7_2,1831,5757.02,wait
m2_3,1831,5757.02,start
m2_3,1831,5760.02,end
i6_2,1831,5992.870000000001,wait
c4_2,1831,6200.470000000001,wait
i6_2,1831,6200.470000000001,wait
